raga_name,RAGATABLE,Aroha,Avroh
Jog,Jog,S-G-m-P-n-S,S-n-P-m-Gg-S
Mohankauns,Mohankauns,S-G-m-d-n-S,S-n-d-m-G-R-S
Jogeshwari,Jogeshwari,S-G-m-D-n-S,S-n-D-m-Gg-S
Gopika Basant,Gopika Basant,S-g-m-P-d-n-S,S-n-d-P-m-g-S
Hemshri,Hemshri,S-g-m-P-N-S,S-n-P-m-g-S
Dhani,Dhani,S-g-m-P-n-S,S-n-P-m-g-S
Malkauns,Malkauns,S-g-m-d-n-S,S-n-d-m-g-S
Chandrakauns,Chandrakauns,S-g-m-d-N-S,S-N-d-m-g-S
Sundarkauns,Sundarkauns,S-g-m-D-n-S,S-n-D-m-g-S
Madhukauns,Madhukauns,S-g-M-P-n-S,S-n-P-M-g-S
Tilang,Tilang,S-G-m-P-N-S,S-n-P-m-G-S
Kaushik Dhwani,Kaushik Dhwani,S-G-m-D-N-S,S-N-D-m-G-S
Hindol,Hindol,S-G-M-D-N-S,S-N-D-M-G-S
Kalavati,Kalavati,S-G-P-D-n-S,S-n-D-P-G-S
